acc;accuracy;average_response_time;avg_rt;background;canvas_backend;correct;correct_new_1_sketchpad;correct_new_keyboard_response;correct_welcome;count_experiment;count_getting_started;count_new_1_inline_script;count_new_1_sketchpad;count_new_inline_script;count_new_keyboard_response;count_new_logger;count_new_loop;count_new_repeat_cycle;count_new_sequence;count_new_sketchpad;count_welcome;d;datetime;description;disable_garbage_collection;experiment_file;experiment_path;font_bold;font_family;font_italic;font_size;font_underline;foreground;form_clicks;fullscreen;height;i;live_row;live_row_new_loop;logfile;opensesame_codename;opensesame_version;person;repeat_cycle;response;response_new_1_sketchpad;response_new_keyboard_response;response_time;response_time_new_1_sketchpad;response_time_new_keyboard_response;response_time_welcome;response_welcome;round_decimals;sound_buf_size;sound_channels;sound_freq;sound_sample_size;start;subject_nr;subject_parity;time_experiment;time_getting_started;time_new_1_inline_script;time_new_1_sketchpad;time_new_inline_script;time_new_keyboard_response;time_new_logger;time_new_loop;time_new_repeat_cycle;time_new_sequence;time_new_sketchpad;time_welcome;title;total_correct;total_response_time;total_responses;trait;width;x;y
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;90;89;89;89;89;0;NA;89;89;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;89;89;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Mark;0;None;w;None;1.0635630005854182;137.79237299965462;1.0635630005854182;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;263357.7540699989;267742.68824799947;265630.7914659992;267882.4204979992;267884.0071249997;42720.51217199987;NA;265728.3266269987;265736.3171859997;40875.814981000076;Новый эксперимент;0;95.65277498928481;90;cannot code;1024;0;5
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;91;90;90;90;90;0;NA;90;90;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;90;90;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint1;0;None;w;None;1.0460630001034588;319.05765999906;1.0460630001034588;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;263357.7540699989;269996.17459;267884.53303999995;270317.1953419987;270318.7752329995;42720.51217199987;NA;267984.72491899884;267991.05379999854;40875.814981000076;Новый эксперимент;0;96.69883798938827;91;belittled;1024;1;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;92;91;91;91;91;0;NA;91;91;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;91;91;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close2;0;None;w;None;1.039315999194514;279.06382800027495;1.039315999194514;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;263357.7540699989;272429.3235659989;270319.3732399995;272710.33992999943;272711.9254529989;42720.51217199987;NA;270418.11554599914;270424.2142459989;40875.814981000076;Новый эксперимент;0;97.73815398858278;92;gregarious;1024;0;2
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;93;92;92;92;92;0;NA;92;92;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;92;92;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Johnson;0;None;w;None;1.0644250014447607;38.35504900052911;1.0644250014447607;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;272712.4048199985;274823.00810499873;272712.3651009988;274863.3196189985;274864.92688799987;42720.51217199987;NA;272810.043866999;272818.0669509984;40875.814981000076;Новый эксперимент;0;98.80257899002754;93;fancy;1024;1;6
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;94;93;93;93;93;0;NA;93;93;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;93;93;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0705170007422566;314.25739199947566;1.0705170007422566;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;272712.4048199985;276978.89676699927;274865.55987300014;277295.1605549988;277296.7771619988;42720.51217199987;NA;274964.8581579986;274972.77645399846;40875.814981000076;Новый эксперимент;0;99.8730959907698;94;belittled;1024;1;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;95;94;94;94;94;0;NA;94;94;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;94;94;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close2;0;None;w;None;1.067830999090802;473.9317009989172;1.067830999090802;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;272712.4048199985;279408.2064300001;277297.40292599855;279884.1187729995;279885.7380190002;42720.51217199987;NA;277395.4423679988;277403.32424199913;40875.814981000076;Новый эксперимент;0;100.9409269898606;95;outgoing;1024;0;2
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;96;95;95;95;95;0;NA;95;95;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;95;95;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint1;0;None;w;None;1.056460001564119;287.80621999973664;1.056460001564119;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;272712.4048199985;281997.2030199988;279886.3274699997;282287.0331059985;282288.641015999;42720.51217199987;NA;279985.5532299989;279992.119863;40875.814981000076;Новый эксперимент;0;101.99738699142472;96;cannot code;1024;0;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;97;96;96;96;96;0;NA;96;96;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;96;96;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint1;0;None;w;None;1.070610000169836;400.67014200030826;1.070610000169836;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;282289.20456299966;284398.27378299925;282289.14938999875;284800.90359399945;284802.5413849991;42720.51217199987;NA;282387.02876199933;282393.150287;40875.814981000076;Новый эксперимент;0;103.06799699159455;97;outgoing;1024;3;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;98;97;97;97;97;0;NA;97;97;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;97;97;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close4;0;None;w;None;1.070833000994753;349.8464549993514;1.070833000994753;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;282289.20456299966;286914.9723869996;284803.1399020001;287266.84081099846;287268.47703699965;42720.51217199987;NA;284901.8517240002;284909.93829899887;40875.814981000076;Новый эксперимент;0;104.13882999258931;98;miserable;1024;2;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;99;98;98;98;98;0;NA;98;98;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;98;98;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Mark;0;None;w;None;1.0623729994986206;250.47042000008514;1.0623729994986206;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;282289.20456299966;289380.3170539995;287269.05377899855;289632.7579680001;289634.38818099897;42720.51217199987;NA;287367.03494099854;287375.4072569991;40875.814981000076;Новый эксперимент;0;105.20120299208793;99;cannot code;1024;1;5
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;100;99;99;99;99;0;NA;99;99;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;99;99;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0821870000800118;428.26518800028134;1.0821870000800118;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;282289.20456299966;291746.4735829999;289635.01177099894;292176.72912399936;292178.38611499977;42720.51217199987;NA;289733.8932189996;289741.6824759985;40875.814981000076;Новый эксперимент;0;106.28338999216794;100;thoughtful;1024;0;4
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;101;100;100;100;100;0;NA;100;100;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;100;100;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close4;0;None;w;None;1.078581000911072;314.8394559993758;1.078581000911072;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;292179.040691999;294289.5989469998;292178.9733619989;294606.443188999;294608.0963589993;42720.51217199987;NA;292278.2835589987;292284.67841000017;40875.814981000076;Новый эксперимент;0;107.36197099307901;101;cannot code;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;102;101;101;101;101;0;NA;101;101;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;101;101;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint1;0;None;w;None;1.0665400004945695;1357.570283998968;1.0665400004945695;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;292179.040691999;296717.2182209997;294608.6569849995;298076.8415759994;298078.491504999;42720.51217199987;NA;294705.94246699876;294712.14757499914;40875.814981000076;Новый эксперимент;0;108.42851099357358;102;outgoing;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;103;102;102;102;102;0;NA;102;102;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;102;102;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Jimmy;0;None;w;None;1.0284299987833947;296.839071001159;1.0284299987833947;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;292179.040691999;300192.6060449987;298079.12484000006;300491.4656330002;300493.44511999877;42720.51217199987;NA;298179.8620769987;298187.4393439994;40875.814981000076;Новый эксперимент;0;109.45694099235698;103;miserable;1024;0;3
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;104;103;103;103;103;0;NA;103;103;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;103;103;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.071701999520883;707.4742330005392;1.071701999520883;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;292179.040691999;302603.79605099844;300494.12265599857;303313.3578659999;303315.0248729999;42720.51217199987;NA;300591.42267599964;300599.13079899887;40875.814981000076;Новый эксперимент;0;110.52864299187786;104;chad;1024;0;3
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;105;104;104;104;104;0;NA;104;104;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;104;104;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.049456001026556;440.81426500092493;1.049456001026556;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;303315.7310070001;305427.4428969984;303315.65693599987;305870.2628309984;305871.9170859986;42720.51217199987;NA;303414.72923199943;303422.665873999;40875.814981000076;Новый эксперимент;0;111.57809899290442;105;thoughtful;1024;3;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;106;105;105;105;105;0;NA;105;105;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;105;105;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Johnson;0;None;w;None;1.0830360006075352;277.56782699906034;1.0830360006075352;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;303315.7310070001;307983.6301699997;305872.4597239998;308263.26742699894;308264.9443499995;42720.51217199987;NA;305970.92894699925;305977.26103499916;40875.814981000076;Новый эксперимент;0;112.66113499351195;106;gregarious;1024;2;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;107;106;106;106;106;0;NA;106;106;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;106;106;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint3;0;None;w;None;1.0605899988440797;278.93354899971746;1.0605899988440797;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;303315.7310070001;310378.3634739993;308265.55992700014;310659.30023100006;310660.98344700004;42720.51217199987;NA;308365.1553869986;308373.5454629987;40875.814981000076;Новый эксперимент;0;113.72172499235603;107;miserable;1024;1;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;108;107;107;107;107;0;NA;107;107;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;107;107;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close2;0;None;w;None;1.0636429996811785;355.9935089997598;1.0636429996811785;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;303315.7310070001;312770.0206239988;310661.5911559984;313128.0288469989;313129.6984809997;42720.51217199987;NA;310758.41352599853;310764.8178679992;40875.814981000076;Новый эксперимент;0;114.78536799203721;108;cannot code;1024;0;2
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;109;108;108;108;108;0;NA;108;108;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;108;108;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint4;0;None;w;None;1.0592400012537837;409.9371910014888;1.0592400012537837;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;313130.4005759994;315242.10008799855;313130.3246079988;315654.1177129984;315655.7959829988;42720.51217199987;NA;313228.865739;313236.99546899844;40875.814981000076;Новый эксперимент;0;115.84460799329099;109;belittled;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;110;109;109;109;109;0;NA;109;109;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;109;109;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0505930004292168;339.1211930011632;1.0505930004292168;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;313130.4005759994;317766.7650739986;315656.42031700007;318107.87224199885;318109.5598960001;42720.51217199987;NA;315754.37790399883;315762.1496529991;40875.814981000076;Новый эксперимент;0;116.89520099372021;110;outgoing;1024;2;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;111;110;110;110;110;0;NA;110;110;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;110;110;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close3;0;None;w;None;1.061442999402061;315.44936999853235;1.061442999402061;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;313130.4005759994;320222.3957400001;318110.04754699935;320539.8818249996;320541.65813799953;42720.51217199987;NA;318209.1090719987;318217.50720399903;40875.814981000076;Новый эксперимент;0;117.95664399312227;111;miserable;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;112;111;111;111;111;0;NA;111;111;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;111;111;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Jimmy;0;None;w;None;1.0637060004519299;355.90749299986055;1.0637060004519299;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;313130.4005759994;322654.7683270001;320542.1621629994;323012.7583559988;323014.44380499923;42720.51217199987;NA;320641.334992999;320647.77001899894;40875.814981000076;Новый эксперимент;0;119.0203499935742;112;cannot code;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;113;112;112;112;112;0;NA;112;112;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;112;112;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Johnson;0;None;w;None;1.0644180001690984;275.4253300008713;1.0644180001690984;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;323015.1472409998;325127.2314969992;323015.07195199886;325404.70029399876;325406.39752199966;42720.51217199987;NA;323115.51099399914;323122.2639560001;40875.814981000076;Новый эксперимент;0;120.0847679937433;113;cannot code;1024;0;6
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;114;113;113;113;113;0;NA;113;113;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;113;113;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint1;0;None;w;None;1.0670249994727783;350.4315710015362;1.0670249994727783;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;323015.1472409998;327519.1170419985;325407.02465399954;327871.6222940002;327873.3236649987;42720.51217199987;NA;325505.9125879998;325514.0789099987;40875.814981000076;Новый эксперимент;0;121.15179299321608;114;belittled;1024;1;2
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;115;114;114;114;114;0;NA;114;114;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;114;114;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close2;0;None;w;None;1.0762179990997538;313.2155260008876;1.0762179990997538;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;323015.1472409998;329986.2418399989;327873.9253359999;330301.5314469994;330303.2648110002;42720.51217199987;NA;327973.03737399855;327981.32791399985;40875.814981000076;Новый эксперимент;0;122.22801099231583;115;miserable;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;116;115;115;115;115;0;NA;115;115;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;115;115;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0755549992318265;567.2897599997814;1.0755549992318265;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;323015.1472409998;332412.15583099984;330303.872774999;332981.64453199937;332983.35951899935;42720.51217199987;NA;330400.9609549994;330406.9772859984;40875.814981000076;Новый эксперимент;0;123.30356599154766;116;outgoing;1024;0;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;117;116;116;116;116;0;NA;116;116;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;116;116;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0797230006428435;310.98147099878406;1.0797230006428435;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;332983.9951679987;335094.3730489998;332983.9295289985;335407.4146499988;335409.1554759998;42720.51217199987;NA;333082.05213399924;333089.6822509985;40875.814981000076;Новый эксперимент;0;124.3832889921905;117;outgoing;1024;0;4
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;118;117;117;117;117;0;NA;117;117;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;117;117;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close1;0;None;w;None;1.0190379998530261;338.1812679999857;1.0190379998530261;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;332983.9951679987;337517.0598159984;335409.8089179988;337857.33473599976;337859.02058600006;42720.51217199987;NA;335505.9109979993;335511.93445999885;40875.814981000076;Новый эксперимент;0;125.40232699204353;118;winner;1024;2;5
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;119;118;118;118;118;0;NA;118;118;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;118;118;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint3;0;None;w;None;1.0631440000142902;788.7242640008335;1.0631440000142902;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;332983.9951679987;339971.44850899896;337859.6267239991;340762.3145500001;340764.03535200004;42720.51217199987;NA;337958.1341899993;337966.5917629991;40875.814981000076;Новый эксперимент;0;126.46547099205782;119;belittled;1024;1;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;120;119;119;119;119;0;NA;119;119;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;119;119;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Catlin;0;None;w;None;1.0639630000223406;355.3736769990646;1.0639630000223406;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;332983.9951679987;342874.7501329999;340764.5460499989;343232.2047369998;343233.95571199944;42720.51217199987;NA;340863.67797299864;340870.036676999;40875.814981000076;Новый эксперимент;0;127.52943399208016;120;miserable;1024;0;0